Device Id,Status,Timestamp
mobile,1,2023-07-28 16:18:09.901870
sushil,0,2023-07-28 16:18:13.916668
tanmay,0,2023-07-28 16:18:17.923321
raghav,0,2023-07-28 16:18:21.933337
mobile,1,2023-07-29 17:00:20.308919
sushil,0,2023-07-29 17:00:24.323680
tanmay,0,2023-07-29 17:00:28.336543
raghav,0,2023-07-29 17:00:32.338680
mobile,1,2023-07-29 17:01:06.584772
sushil,0,2023-07-29 17:01:10.599870
tanmay,0,2023-07-29 17:01:14.614358
raghav,0,2023-07-29 17:01:18.619894
mobile,1,2023-07-29 17:44:14.634739
sushil,0,2023-07-29 17:44:18.644093
tanmay,0,2023-07-29 17:44:22.656270
raghav,0,2023-07-29 17:44:26.658783
MyMobile,0,2023-07-29 17:44:30.666122
